tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
1/1/2021,DKI1 (Bunderan HI),38,53,29,6,31,13,53,PM25,SEDANG
1/2/2021,DKI1 (Bunderan HI),27,46,27,7,47,7,47,O3,BAIK
1/3/2021,DKI1 (Bunderan HI),44,58,25,7,40,13,58,PM25,SEDANG
1/4/2021,DKI1 (Bunderan HI),30,48,24,4,32,7,48,PM25,BAIK
1/5/2021,DKI1 (Bunderan HI),38,53,24,6,31,9,53,PM25,SEDANG
1/6/2021,DKI1 (Bunderan HI),41,58,23,13,46,13,58,PM25,SEDANG
1/7/2021,DKI1 (Bunderan HI),35,47,22,6,39,10,47,PM25,BAIK
1/8/2021,DKI1 (Bunderan HI),37,54,26,16,17,10,54,PM25,SEDANG
1/9/2021,DKI1 (Bunderan HI),47,61,16,27,22,12,61,PM25,SEDANG
1/10/2021,DKI1 (Bunderan HI),23,25,16,11,33,8,33,O3,BAIK
1/11/2021,DKI1 (Bunderan HI),38,54,17,14,27,10,54,PM25,SEDANG
1/12/2021,DKI1 (Bunderan HI),29,50,20,12,26,15,50,PM25,BAIK
1/13/2021,DKI1 (Bunderan HI),34,44,17,13,20,9,44,PM25,BAIK
1/14/2021,DKI1 (Bunderan HI),36,57,15,15,26,13,57,PM25,SEDANG
1/15/2021,DKI1 (Bunderan HI),42,62,14,15,32,12,62,PM25,SEDANG
1/16/2021,DKI1 (Bunderan HI),52,73,15,17,25,14,73,PM25,SEDANG
1/17/2021,DKI1 (Bunderan HI),52,71,17,15,26,14,71,PM25,SEDANG
1/18/2021,DKI1 (Bunderan HI),40,52,16,11,26,12,52,PM25,SEDANG
1/19/2021,DKI1 (Bunderan HI),31,41,13,12,25,12,41,PM25,BAIK
1/20/2021,DKI1 (Bunderan HI),35,34,12,12,22,13,35,PM10,BAIK
1/21/2021,DKI1 (Bunderan HI),43,51,13,14,28,15,51,PM25,SEDANG
